Half	PDT	half
a	DT	a
world	NN	world
away	RB	away
from	IN	from
all	DT	all
of	IN	of
the	DT	the
fighting	NN	fighting
and	CC	and
protests	NNS	protest
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
Russian	NP	Russian
President	NP	President
Vladimir	NP	Vladimir
Putin	NP	Putin
and	CC	and
the	DT	the
Chinese	JJ	Chinese
President	NP	President
Xi	NN	xi
Jinping	NP	Jinping
met	VVD	meet
today	NN	today
in	IN	in
Beijing	NP	Beijing
,	,	,
both	CC	both
refusing	VVG	refuse
to	TO	to
condemn	VV	condemn
Hamas	NNS	Hamas
,	,	,
clearly	RB	clearly
taking	VVG	take
a	DT	a
side	NN	side
in	IN	in
this	DT	this
wa	NP	Wa
Will	NP	Will
Ripley	NP	Ripley
is	VBZ	be
OUTFRONT	NP	OUTFRONT
Russian	NP	Russian
President	NP	President
Vladimir	NP	Vladimir
Putin	NP	Putin
and	CC	and
accused	VVN	accuse
war	NN	war
criminal	JJ	criminal
in	IN	in
the	DT	the
a	DT	a
guest	NN	guest
of	IN	of
honor	NN	honor
in	IN	in
Beijing	NP	Beijing
.	SENT	.
Chinese	NP	Chinese
President	NP	President
Xi	NN	xi
Jinping	NP	Jinping
feasting	VVG	feast
with	IN	with
a	DT	a
fellow	JJ	fellow
strongmen	NNS	strongman
triumphantly	RB	triumphantly
toasting	VVG	toast
their	PP$	their
visi	NNS	visi
of	IN	of
a	DT	a
new	JJ	new
world	NN	world
order	NN	order
,	,	,
a	DT	a
world	NN	world
prioritizing	VVG	prioritizing
Palestinians	NPS	Palestinians
over	IN	over
Western	NP	Western
backed	VVD	back
pitting	VVG	pit
the	DT	the
Putin	NP	Putin
Sea	NP	Sea
World	NP	World
against	IN	against
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
led	VVN	lead
free	JJ	free
world	NN	world
.	SENT	.
Russia	NP	Russia
and	CC	and
China	NP	China
refusing	VVG	refuse
to	TO	to
strongly	RB	strongly
condemn	VV	condemn
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
.	SENT	.
Putin	NP	Putin
placing	NN	placing
blame	NN	blame
on	IN	on
the	DT	the
US	NP	US
for	IN	for
the	DT	the
conflict	NN	conflict
not	RB	not
Hamas	JJ	Hamas
gunmen	NNS	gunman
who	WP	who
also	RB	also
took	VVD	take
Russian	JJ	Russian
lives	NNS	life
both	CC	both
Beijing	NP	Beijing
and	CC	and
Moscow	NP	Moscow
criticizing	VVG	criticize
Israel	NP	Israel
'	POS	'
s	NN	S
actions	NNS	action
condemning	VVG	condemn
Tuesday	NP	Tuesday
'	POS	'
s	JJ	s
deadly	JJ	deadly
hospital	NN	hospital
blast	NN	blast
.	SENT	.
The	DT	the
Palestinians	NPS	Palestinians
say	VVP	say
hundreds	NNS	hundred
di	NP	di
Russia	NP	Russia
,	,	,
calling	VVG	call
it	PP	it
an	DT	an
act	NN	act
of	IN	of
dehumanization	NN	dehumanization
,	,	,
urging	VVG	urge
Israel	NP	Israel
to	TO	to
prove	VV	prove
its	PP$	its
innoc	NN	innoc
China	NP	China
says	VVZ	say
Israel	NP	Israel
played	VVD	play
a	DT	a
part	NN	part
in	IN	in
provoking	VVG	provoke
Palestinian	JJ	Palestinian
rage	NN	rage
.	SENT	.
Decades	NNS	decade
of	IN	of
diplomacy	NN	diplomacy
without	IN	without
a	DT	a
two	CD	two
state	NN	state
solution	NN	solution
.	SENT	.
You	PP	you
say	VVP	say
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
establis	NNS	establis
a	DT	a
state	NN	state
.	SENT	.
Palestine	NP	Palestine
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
estab	VV	estab
a	DT	a
state	NN	state
as	IN	as
well	RB	well
.	SENT	.
China	NP	China
'	POS	'
s	NN	S
heavily	RB	heavily
censored	VVN	censor
social	JJ	social
media	NNS	medium
overflowing	VVG	overflow
with	IN	with
pro	JJ	pro
-	NN	-
Palestinian	NN	Palestinian
and	CC	and
plenty	NN	plenty
of	IN	of
anger	NN	anger
aimed	VVN	aim
at	IN	at
Israel	NP	Israel
and	CC	and
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
One	CD	one
user	NN	user
writes	VVZ	write
,	,	,
The	DT	the
only	JJ	only
way	NN	way
to	TO	to
get	VV	get
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
for	IN	for
the	DT	the
Jews	NPS	Jews
to	TO	to
move	VV	move
to	TO	to
America	NP	America
and	CC	and
build	VV	build
a	DT	a
nation	NN	nation
th	NN	th
President	NP	President
Xi	NN	xi
welcomed	VVD	welcome
Palestinia	NP	Palestinia
President	NP	President
Mahmoud	NP	Mahmoud
Abbas	NP	Abbas
in	IN	in
June	NP	June
,	,	,
part	NN	part
of	IN	of
Beijing	NP	Beijing
'	POS	'
s	JJ	s
bid	NN	bid
for	IN	for
a	DT	a
bigg	NN	bigg
in	IN	in
