let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Heidi	NP	Heidi
Joe	NP	Joe
Castro	NP	Castro
now	RB	now
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Washington	NP	Washington
DC	NP	DC
Heidi	NP	Heidi
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
a	DT	a
developing	VVG	develop
situation	NN	situation
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
officials	NNS	official
in	IN	in
the	DT	the
US	NP	US
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
a	DT	a
breakthrough	NN	breakthrough
that	RB	that
'	POS	'
s	NN	S
what	WP	what
was	VBD	be
said	VVN	say
on	IN	on
that	DT	that
conference	NN	conference
call	NN	call
what	WP	what
else	RB	else
do	VVP	do
we	PP	we
know	VVP	know
that	IN/that	that
'	POS	'
s	JJ	s
right	NN	right
this	DT	this
is	VBZ	be
information	NN	information
coming	VVG	come
from	IN	from
an	DT	an
unnamed	JJ	unnamed
top	JJ	top
Us	NP	U
official	NN	official
and	CC	and
while	IN	while
they	PP	they
did	VVD	do
say	VV	say
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
significant	JJ	significant
opening	NN	opening
in	IN	in
these	DT	these
talks	NNS	talk
they	PP	they
also	RB	also
caution	VVP	caution
that	IN/that	that
this	DT	this
doesn	NN	doesn
'	POS	'
t	NN	t
mean	VVP	mean
that	IN/that	that
a	DT	a
deal	NN	deal
may	MD	may
come	VV	come
through	IN	through
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
however	RB	however
this	DT	this
is	VBZ	be
significant	JJ	significant
uh	UH	uh
again	RB	again
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
pretty	RB	pretty
significant	JJ	significant
opening	NN	opening
here	IN	here
uh	UH	uh
more	JJR	more
information	NN	information
was	VBD	be
shed	VVN	shed
also	RB	also
on	IN	on
this	DT	this
talk	NN	talk
between	IN	between
President	NP	President
Biden	NP	Biden
and	CC	and
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
which	WDT	which
lasted	VVD	last
about	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
uh	UH	uh
today	NN	today
and	CC	and
in	IN	in
it	PP	it
they	PP	they
did	VVD	do
discuss	VV	discuss
the	DT	the
recent	JJ	recent
response	NN	response
from	IN	from
Hamas	NN	Hamas
to	TO	to
the	DT	the
latest	JJS	late
Israeli	JJ	Israeli
uh	UH	uh
ceasefire	NN	ceasefire
and	CC	and
hostage	NN	hostage
proposal	NN	proposal
and	CC	and
though	RB	though
there	EX	there
were	VBD	be
not	RB	not
specific	JJ	specific
details	NNS	detail
given	VVN	give
on	IN	on
how	WRB	how
those	DT	those
talks	NNS	talk
or	CC	or
what	WP	what
those	DT	those
discussions	NNS	discussion
were	VBD	be
the	DT	the
readout	NN	readout
of	IN	of
this	DT	this
talk	NN	talk
between	IN	between
of	IN	of
the	DT	the
call	NN	call
between	IN	between
the	DT	the
two	CD	two
leaders	NNS	leader
said	VVD	say
that	IN/that	that
they	PP	they
reviewed	VVD	review
uh	UH	uh
the	DT	the
response	NN	response
from	IN	from
Hamas	NP	Hamas
and	CC	and
talked	VVD	talk
about	RB	about
just	RB	just
the	DT	the
logistics	NN	logistics
which	WDT	which
seems	VVZ	seem
to	TO	to
be	VB	be
now	RB	now
the	DT	the
biggest	JJS	big
hurdle	NN	hurdle
in	IN	in
how	WRB	how
to	TO	to
implement	VV	implement
uh	UH	uh
this	DT	this
deal	NN	deal
but	CC	but
again	RB	again
while	IN	while
this	DT	this
is	VBZ	be
certainly	RB	certainly
something	NN	something
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
hoping	VVG	hope
for	IN	for
and	CC	and
there	EX	there
seems	VVZ	seem
to	TO	to
be	VB	be
more	JJR	more
energy	NN	energy
between	IN	between
Behind	IN	behind
These	DT	these
talks	NNS	talk
now	RB	now
the	DT	the
use	NN	use
officials	NNS	official
are	VBP	be
still	RB	still
cautioning	VVG	caution
that	IN/that	that
it	PP	it
doesn	NNS	doesn
'	POS	'
t	NN	t
mean	VVP	mean
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
expecting	VVG	expect
to	TO	to
see	VV	see
a	DT	a
deal	NN	deal
in	IN	in
just	RB	just
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
this	DT	this
is	VBZ	be
still	RB	still
something	NN	something
that	WDT	that
may	MD	may
take	VV	take
weeks	NNS	week
if	IN	if
it	PP	it
happens	VVZ	happen
at	IN	at
all	DT	all
and	CC	and
Heidi	NP	Heidi
as	IN	as
you	PP	you
note	VVP	note
there	RB	there
and	CC	and
mentioned	VVD	mention
that	IN/that	that
I	PP	I
suppose	VVP	suppose
we	PP	we
we	PP	we
shouldn	NP	shouldn
'	POS	'
t	NN	t
expect	VVP	expect
a	DT	a
deal	VV	deal
uh	UH	uh
in	IN	in
in	IN	in
days	NNS	day
or	CC	or
or	CC	or
even	RB	even
weeks	NNS	week
but	CC	but
there	EX	there
was	VBD	be
a	DT	a
note	NN	note
from	IN	from
that	DT	that
unnamed	JJ	unnamed
official	NN	official
that	IN/that	that
President	NP	President
Biden	NP	Biden
was	VBD	be
encouraged	VVN	encourage
that	IN/that	that
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
was	VBD	be
reauthorizing	VVG	reauthorize
his	PP$	his
torm	NN	torm
to	TO	to
re	NN	re
-	NNS	-
engage	VVP	engage
in	IN	in
the	DT	the
talks	NNS	talk
what	WP	what
what	WP	what
can	MD	can
we	PP	we
glean	VV	glean
from	IN	from
that	DT	that
absolutely	RB	absolutely
is	VBZ	be
forward	RB	forward
motion	NN	motion
as	IN	as
opposed	VVN	oppose
to	TO	to
the	DT	the
stagnation	NN	stagnation
of	IN	of
those	DT	those
talks	NNS	talk
in	IN	in
Doha	NP	Doha
in	IN	in
the	DT	the
recent	JJ	recent
weeks	NNS	week
and	CC	and
certainly	RB	certainly
Biden	NP	Biden
has	VHZ	have
been	VBN	be
a	DT	a
driving	VVG	drive
force	NN	force
trying	VVG	try
to	TO	to
speak	VV	speak
with	IN	with
Netanyahu	NP	Netanyahu
with	IN	with
Israel	NP	Israel
one	CD	one
of	IN	of
the	DT	the
US	NP	US
'	POS	'
s	JJ	s
strongest	JJS	strong
allies	NNS	ally
to	TO	to
uh	UH	uh
accept	VV	accept
the	DT	the
terms	NNS	term
of	IN	of
this	DT	this
deal	NN	deal
which	WDT	which
again	RB	again
Biden	NP	Biden
has	VHZ	have
always	RB	always
emphasized	VVN	emphasize
originated	VVN	originate
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
itself	PP	itself
and	CC	and
Biden	NP	Biden
will	MD	will
have	VH	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
further	RBR	further
try	VV	try
to	TO	to
gain	VV	gain
worldwide	JJ	worldwide
support	NN	support
in	IN	in
encouraging	VVG	encourage
Israel	NP	Israel
to	TO	to
take	VV	take
this	DT	this
deal	NN	deal
that	WDT	that
will	MD	will
be	VB	be
next	JJ	next
week	NN	week
when	WRB	when
he	PP	he
is	VBZ	be
expected	VVN	expect
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
terms	NNS	term
of	IN	of
this	DT	this
deal	NN	deal
at	IN	at
the	DT	the
NATO	NP	NATO
Summit	NP	Summit
here	RB	here
in	IN	in
Washington	NP	Washington
and	CC	and
Heidi	NP	Heidi
of	IN	of
course	NN	course
if	IN	if
we	PP	we
put	VVP	put
this	DT	this
in	IN	in
the	DT	the
context	NN	context
of	IN	of
what	WP	what
we	PP	we
knew	VVD	know
earlier	RBR	earlier
about	IN	about
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
speaking	VVG	speak
to	TO	to
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
on	IN	on
the	DT	the
phone	NN	phone
what	WP	what
else	RB	else
did	VVD	do
we	PP	we
hear	VVP	hear
that	IN/that	that
those	DT	those
two	CD	two
laders	NNS	lader
discussed	VVN	discuss
well	RB	well
the	DT	the
readout	NN	readout
of	IN	of
the	DT	the
call	NN	call
was	VBD	be
very	JJ	very
uh	UH	uh
non	JJ	non
-	NN	-
detailed	JJ	detailed
but	CC	but
we	PP	we
know	VVP	know
again	RB	again
that	IN/that	that
they	PP	they
talked	VVD	talk
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
and	CC	and
we	PP	we
talked	VVD	talk
that	IN/that	that
they	PP	they
talked	VVD	talk
about	IN	about
the	DT	the
Hamas	JJ	Hamas
response	NN	response
which	WDT	which
came	VVD	come
on	IN	on
Wednesday	NP	Wednesday
a	DT	a
deliver	VV	deliver
to	TO	to
Qatari	JJ	Qatari
and	CC	and
Egyptian	JJ	Egyptian
mediators	NNS	mediator
to	TO	to
the	DT	the
latest	JJS	late
development	NN	development
in	IN	in
those	DT	those
talks	NNS	talk
exactly	RB	exactly
what	WP	what
uh	UH	uh
the	DT	the
response	NN	response
is	VBZ	be
we	PP	we
have	VHP	have
still	RB	still
yet	RB	yet
to	TO	to
learn	VV	learn
all	DT	all
right	NN	right
thank	VV	thank
you	PP	you
that	IN/that	that
'	POS	'
s	JJ	s
Heidi	NP	Heidi
jastro	NN	jastro
reporting	NN	reporting
from	IN	from
Washington	NP	Washington
DC	NP	DC
and	CC	and
we	PP	we
'	POS	'
ll	NNS	ll
just	RB	just
recap	VVP	recap
that	IN/that	that
we	PP	we
are	VBP	be
following	VVG	follow
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jaaz	NP	jaaz
