<video_id>VDnHw6GRl88</video_id>	JJ	<video_id>VDnHw6GRl88</video_id>
<video_title>No	NN	<video_title>No
breakthrough	NN	breakthrough
yet,	NN	yet,
but	CC	but
optimism	NN	optimism
remains	VVZ	remain
regarding	VVG	regard
ongoing	JJ	ongoing
talks	NNS	talk
on	IN	on
Gaza:	NP	Gaza:
Qatar	NP	Qatar
FM</video_title>	NP	FM</video_title>
<thumbnail_path>data/en_AJ\No	NP	<thumbnail_path>data/en_AJ\No
breakthrough	NN	breakthrough
yet,	NN	yet,
but	CC	but
optimism	NN	optimism
remains	VVZ	remain
regarding	VVG	regard
ongoing	JJ	ongoing
talks	NNS	talk
on	IN	on
Gaza	NP	Gaza
Qatar	NP	Qatar
FM.jpg</thumbnail_path>	NP	FM.jpg</thumbnail_path>
<publish_date>20240227</publish_date>	JJ	<publish_date>20240227</publish_date>
<doc>	NN	<doc>
information	NN	information
for	IN	for
a	DT	a
press	NN	press
conference	NN	conference
we	PP	we
believe	VVP	believe
is	VBZ	be
about	RB	about
the	DT	the
seat	NN	seat
let's	NNS	let's
listen	VVP	listen
in	IN	in
the	DT	the
committee	NN	committee
has	VHZ	have
been	VBN	be
formed	VVN	form
in	IN	in
2022	CD	@card@
it's	NNS	it's
a	DT	a
joint	JJ	joint
committee	NN	committee
presided	VVD	preside
over	RP	over
by	IN	by
both	DT	both
foreign	JJ	foreign
Ministers	NPS	Ministers
of	IN	of
both	DT	both
countries	NNS	country
for	IN	for
more	JJR	more
consultation	NN	consultation
and	CC	and
boosting	VVG	boost
cooperation	NN	cooperation
in	IN	in
all	DT	all
fields	NNS	field
and	CC	and
domains	NNS	domain
the	DT	the
state	NN	state
of	IN	of
Qatar	NP	Qatar
is	VBZ	be
the	DT	the
current	JJ	current
president	NN	president
of	IN	of
the	DT	the
44th	JJ	44th
session	NN	session
of	IN	of
the	DT	the
gulf	NN	gulf
Corporation	NP	Corporation
Council	NP	Council
his	PP$	his
Excellency	NN	Excellency
the	DT	the
prime	JJ	prime
for	IN	for
prime	JJ	prime
minister	NN	minister
foreign	JJ	foreign
minister	NN	minister
will	MD	will
preside	VV	preside
over	IN	over
the	DT	the
ministerial	JJ	ministerial
Council	NN	council
on	IN	on
uh	UH	uh
this	DT	this
coming	VVG	come
Sunday	NP	Sunday
in	IN	in
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
he	PP	he
will	MD	will
deliver	VV	deliver
his	PP$	his
inaugural	JJ	inaugural
speech	NN	speech
being	VBG	be
the	DT	the
president	NN	president
of	IN	of
this	DT	this
session	NN	session
and	CC	and
in	IN	in
addition	NN	addition
to	TO	to
that	DT	that
in	IN	in
Riad	NP	Riad
there	EX	there
will	MD	will
be	VB	be
the	DT	the
meeting	NN	meeting
of	IN	of
the	DT	the
ministerial	JJ	ministerial
level	NN	level
meeting	NN	meeting
between	IN	between
the	DT	the
GCC	NP	GCC
uh	UH	uh
member	NN	member
states	NNS	state
with	IN	with
the	DT	the
participation	NN	participation
of	IN	of
the	DT	the
kingdom	NN	kingdom
of	IN	of
Jordan	NP	Jordan
and	CC	and
the	DT	the
Egypt	NP	Egypt
and	CC	and
his	PP$	his
Excellency	NN	Excellency
will	MD	will
preside	VV	preside
over	IN	over
these	DT	these
sessions	NNS	session
representing	VVG	represent
the	DT	the
state	NN	state
of	IN	of
K	NP	K
and	CC	and
the	DT	the
chairman	NN	chairman
of	IN	of
the	DT	the
Kat	NP	Kat
delegation	NN	delegation
the	DT	the
president	NN	president
of	IN	of
the	DT	the
session	NN	session
this	DT	this
week	NN	week
or	CC	or
start	NN	start
of	IN	of
next	JJ	next
