<video_id>xn4HNDyy5F4</video_id>	NP	<video_id>xn4HNDyy5F4</video_id>
<video_title>South	NP	<video_title>South
Africa	NP	Africa
makes	VVZ	make
urgent	JJ	urgent
request	NN	request
to	TO	to
ICJ	NP	ICJ
on	IN	on
Israel’s	NP	Israel’s
Rafah	NP	Rafah
offensive</video_title>	NP	offensive</video_title>
<thumbnail_path>data/en_AJ\South	NP	<thumbnail_path>data/en_AJ\South
Africa	NP	Africa
makes	VVZ	make
urgent	JJ	urgent
request	NN	request
to	TO	to
ICJ	NP	ICJ
on	IN	on
Israel’s	NP	Israel’s
Rafah	NP	Rafah
offensive.jpg</thumbnail_path>	JJ	offensive.jpg</thumbnail_path>
<publish_date>20240213</publish_date>	NN	<publish_date>20240213</publish_date>
<doc>	NN	<doc>
South	NP	South
Africa	NP	Africa
says	VVZ	say
it's	NNS	it's
lodged	VVD	lodge
an	DT	an
urgent	JJ	urgent
request	NN	request
with	IN	with
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
over	IN	over
Israel's	NP	Israel's
military	JJ	military
operations	NNS	operation
and	CC	and
Rafa	NP	Rafa
it's	NNS	it's
asked	VVD	ask
the	DT	the
un's	NNS	un's
top	VVP	top
Court	NP	Court
to	TO	to
consider	VV	consider
if	IN	if
an	DT	an
Israeli	JJ	Israeli
ground	NN	ground
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
would	MD	would
require	VV	require
judges	NNS	judge
to	TO	to
use	VV	use
their	PP$	their
powers	NNS	power
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
further	JJR	further
breaches	NNS	breach
of	IN	of
Palestinian	JJ	Palestinian
rights	NNS	right
you	PP	you
recall	VVP	recall
last	JJ	last
month	NN	month
South	NP	South
Africa	NP	Africa
brought	VVD	bring
a	DT	a
case	NN	case
accusing	VVG	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
judges	NNS	judge
later	RBR	later
ruled	VVD	rule
that	IN/that	that
Israel	NP	Israel
must	MD	must
take	VV	take
specific	JJ	specific
actions	NNS	action
to	TO	to
prevent	VV	prevent
that	IN/that	that
let's	NNS	let's
speak	VVP	speak
to	TO	to
fam	JJ	fam
Miller	NP	Miller
she's	NNS	she's
across	IN	across
all	DT	all
of	IN	of
this	DT	this
for	IN	for
us	PP	us
from	IN	from
Johannesburg	NP	Johannesburg
for	IN	for
me	PP	me
to	TO	to
explain	VV	explain
this	DT	this
move	NN	move
by	IN	by
South	NP	South
Africa	NP	Africa
what	WP	what
has	VHZ	have
the	DT	the
presidency	NN	presidency
done	VVN	do
here	RB	here
well	RB	well
you've	VV	you've
just	RB	just
outlined	VVN	outline
the	DT	the
some	DT	some
of	IN	of
the	DT	the
orders	NNS	order
that	WDT	that
were	VBD	be
given	VVN	give
about	IN	about
three	CD	three
weeks	NNS	week
ago	RB	ago
and	CC	and
this	DT	this
is	VBZ	be
an	DT	an
extension	NN	extension
of	IN	of
that	WDT	that
and	CC	and
the	DT	the
department	NN	department
of	IN	of
international	JJ	international
relations	NNS	relation
in	IN	in
South	NP	South
Africa	NP	Africa
has	VHZ	have
said	VVN	say
that	IN/that	that
their	PP$	their
uh	UH	uh
request	NN	request
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
is	VBZ	be
based	VVN	base
on	IN	on
uh	UH	uh
rule	VV	rule
71	CD	@card@
75.1	CD	@card@
where	WRB	where
it	PP	it
can	MD	can
approach	VV	approach
approach	VV	approach
the	DT	the
court	NN	court
for	IN	for
an	DT	an
urgent	JJ	urgent
order	NN	order
without	IN	without
having	VHG	have
to	TO	to
have	VH	have
another	DT	another
hearing	NN	hearing
and	CC	and
that	IN/that	that
the	DT	the
court	NN	court
could	MD	could
use	VV	use
its	PP$	its
own	JJ	own
discretion	NN	discretion
given	VVN	give
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
Rafa	NP	Rafa
and	CC	and
given	VVN	give
the	DT	the
urgency	NN	urgency
of	IN	of
the	DT	the
situation	NN	situation
and	CC	and
to	TO	to
prevent	VV	prevent
a	DT	a
further	JJR	further
loss	NN	loss
of	IN	of
life	NN	life
and	CC	and
as	IN	as
the	DT	the
department	NN	department
of	IN	of
international	JJ	international
relations	NNS	relation
has	VHZ	have
said	VVN	say
um	NNS	um
the	DT	the
court	NN	court
should	MD	should
consider	VV	consider
additional	JJ	additional
measures	NNS	measure
because	IN	because
of	IN	of
the	DT	the
urgency	NN	urgency
which	WDT	which
we	PP	we
had	VHD	have
pointed	VVN	point
out	RP	out
and	CC	and
the	DT	the
risk	NN	risk
of	IN	of
imminent	JJ	imminent
harm	NN	harm
to	TO	to
the	DT	the
rights	NNS	right
of	IN	of
Palestinians	NPS	Palestinians
there's	RB	there's
always	RB	always
been	VBN	be
a	DT	a
concern	NN	concern
around	IN	around
implementation	NN	implementation
of	IN	of
that	DT	that
original	JJ	original
order	NN	order
by	IN	by
the	DT	the
icj	NN	icj
in	IN	in
terms	NNS	term
of	IN	of
uh	UH	uh
preventing	VVG	prevent
Israel	NP	Israel
preventing	VVG	prevent
the	DT	the
loss	NN	loss
of	IN	of
Civilian	JJ	civilian
lives	NNS	life
the	DT	the
provision	NN	provision
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
so	RB	so
while	IN	while
that	DT	that
order	NN	order
was	VBD	be
given	VVN	give
there's	RB	there's
always	RB	always
been	VBN	be
concern	NN	concern
around	IN	around
monitoring	NN	monitoring
and	CC	and
implementation	NN	implementation
and	CC	and
if	IN	if
Israel	NP	Israel
would	MD	would
pull	VV	pull
back	RB	back
which	WDT	which
we	PP	we
haven't	VVD	haven't
seen	VVN	see
yet	RB	yet
and	CC	and
South	NP	South
Africa	NP	Africa
is	VBZ	be
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
already	RB	already
in	IN	in
breach	NN	breach
of	IN	of
the	DT	the
order	NN	order
that	WDT	that
was	VBD	be
given	VVN	give
