journ	NN	journ
abam	NN	abam
his	PP$	his
home	NN	home
in	IN	in
gaz	NP	Gaz
to	TO	to
is	VBZ	be
he	PP	he
says	VVZ	say
the	DT	the
shooting	NN	shooting
as	IN	as
they	PP	they
left	VVD	leave
was	VBD	be
continuous	JJ	continuous
even	RB	even
though	IN	though
they	PP	they
had	VHD	have
white	JJ	white
flags	NNS	flag
he	PP	he
also	RB	also
said	VVD	say
the	DT	the
israel	NP	Israel
army	NN	army
was	VBD	be
using	VVG	use
a	DT	a
drone	NN	drone
to	TO	to
force	VV	force
people	NNS	people
to	TO	to
die	VV	die
andle	NN	andle
this	DT	this
is	VBZ	be
the	DT	the
journey	NN	journey
that	IN/that	that
he	PP	he
made	VVD	make
with	IN	with
old	JJ	old
come	VVN	come
on	IN	on
But	CC	but
you	PP	you
walk	VVP	walk
,	,	,
come	VVP	come
on	RB	on
,	,	,
be	VB	be
afraid	JJ	afraid
with	IN	with
one	CD	one
hand	NN	hand
.	SENT	.
Come	VVN	come
on	IN	on
,	,	,
Dido	NP	Dido
,	,	,
Papa	NP	Papa
,	,	,
Mam	NP	Mam
,	,	,
come	VVN	come
on	IN	on
,	,	,
don	VV	don
'	''	'
t	NN	t
be	VB	be
afraid	JJ	afraid
,	,	,
Mamou	NP	Mamou
,	,	,
what	WP	what
'	POS	'
s	NNS	s
wrong	JJ	wrong
with	IN	with
you	PP	you
,	,	,
Abu	NP	Abu
Ahmed	NP	Ahmed
?	SENT	?
I	PP	I
swear	VVP	swear
you	PP	you
brought	VVD	bring
me	PP	me
the	DT	the
one	CD	one
who	WP	who
is	VBZ	be
at	IN	at
home	NN	home
,	,	,
come	VVN	come
on	IN	on
,	,	,
bring	VV	bring
me	PP	me
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
.	SENT	.
I	PP	I
said	VVD	say
to	TO	to
God	NP	God
,	,	,
stay	NN	stay
at	IN	at
home	NN	home
,	,	,
come	VVN	come
on	IN	on
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
,	,	,
come	VV	come
on	RP	on
.	SENT	.
Abu	NP	Abu
,	,	,
come	VVN	come
on	IN	on
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
carry	VV	carry
it	PP	it
because	IN	because
I	PP	I
have	VHP	have
a	DT	a
baby	NN	baby
,	,	,
come	VVN	come
on	IN	on
,	,	,
carry	VV	carry
it	PP	it
,	,	,
carry	VV	carry
it	PP	it
,	,	,
say	VV	say
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
say	VV	say
,	,	,
oh	UH	oh
Lord	NP	Lord
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
hey	UH	hey
,	,	,
I	PP	I
'	POS	'
m	NN	m
still	RB	still
alive	JJ	alive
,	,	,
I	PP	I
'	POS	'
m	NN	m
still	RB	still
alive	JJ	alive
,	,	,
I	PP	I
still	RB	still
have	VHP	have
a	DT	a
father	NN	father
,	,	,
come	VVN	come
on	IN	on
,	,	,
bring	VV	bring
me	PP	me
the	DT	the
bag	NN	bag
,	,	,
the	DT	the
bag	NN	bag
,	,	,
without	IN	without
a	DT	a
bag	NN	bag
,	,	,
without	IN	without
anyone	NN	anyone
else	RB	else
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	ll
go	VVP	go
,	,	,
but	CC	but
daddy	NN	daddy
,	,	,
daddy	NN	daddy
,	,	,
daddy	NN	daddy
,	,	,
who	WP	who
'	POS	'
s	NN	S
here	RB	here
,	,	,
who	WP	who
'	POS	'
s	NN	S
who	WP	who
,	,	,
who	WP	who
'	POS	'
s	VVG	s
who	WP	who
?	SENT	?
Is	VBZ	be
there	RB	there
anyone	NN	anyone
who	WP	who
can	MD	can
imagine	VV	imagine
,	,	,
oh	UH	oh
,	,	,
there	EX	there
are	VBP	be
three	CD	three
things	NNS	thing
,	,	,
okay	RB	okay
,	,	,
ha	NP	ha
,	,	,
answer	VV	answer
the	DT	the
lip	NN	lip
,	,	,
answer	VV	answer
the	DT	the
lip	NN	lip
,	,	,
answer	VV	answer
the	DT	the
lip	NN	lip
,	,	,
answer	NN	answer
,	,	,
come	VVN	come
on	IN	on
,	,	,
God	NP	God
willing	JJ	willing
,	,	,
from	IN	from
