<video_id>GlXvXkTZVZE</video_id>	JJ	<video_id>GlXvXkTZVZE</video_id>
<video_title>‘Maritime	NN	<video_title>‘Maritime
corridor	NN	corridor
is	VBZ	be
a	DT	a
logistical	JJ	logistical
nightmare’</video_title>	NN	nightmare’</video_title>
<thumbnail_path>data/en_AJ\‘Maritime	NN	<thumbnail_path>data/en_AJ\‘Maritime
corridor	NN	corridor
is	VBZ	be
a	DT	a
logistical	JJ	logistical
nightmare’.jpg</thumbnail_path>	NN	nightmare’.jpg</thumbnail_path>
<publish_date>20240309</publish_date>	NN	<publish_date>20240309</publish_date>
<doc>	NN	<doc>
well	RB	well
Imran	NP	Imran
Khan	NP	Khan
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
laner	JJR	lane
in	IN	in
Cyprus	NP	Cyprus
Imran	NP	Imran
I	PP	I
ju	VVZ	ju
just	RB	just
help	VV	help
me	PP	me
out	IN	out
a	DT	a
little	JJ	little
bit	NN	bit
with	IN	with
the	DT	the
timelines	NNS	timelines
here	RB	here
we're	VVP	we're
talking	VVG	talk
about	IN	about
the	DT	the
US	NP	US
Pier	NP	Pier
taking	VVG	take
two	CD	two
months	NNS	month
to	TO	to
build	VV	build
yet	RB	yet
there's	RB	there's
a	DT	a
ship	NN	ship
more	RBR	more
or	CC	or
less	RBR	less
ready	JJ	ready
to	TO	to
leave	VV	leave
weather	NN	weather
permitting	VVG	permit
uh	UH	uh
we're	NN	we're
also	RB	also
saying	VVG	say
there	EX	there
are	VBP	be
no	DT	no
logistical	JJ	logistical
distribution	NN	distribution
uh	UH	uh
Arrangements	NNS	arrangement
in	IN	in
place	NN	place
for	IN	for
this	DT	this
Aid	NN	aid
when	WRB	when
it	PP	it
gets	VVZ	get
there	RB	there
so	RB	so
what	WP	what
are	VBP	be
the	DT	the
sort	NN	sort
of	IN	of
short-term	JJ	short-term
expectations	NNS	expectation
uh	UH	uh
for	IN	for
the	DT	the
ship	NN	ship
that's	NNS	that's
sitting	VVG	sit
in	IN	in
port	NN	port
behind	IN	behind
you	PP	you
well	RB	well
there's	RB	there's
two	CD	two
things	NNS	thing
like	IN	like
you	PP	you
say	VVP	say
that	WDT	that
are	VBP	be
going	VVG	go
on	IN	on
here	RB	here
there's	RB	there's
this	DT	this
idea	NN	idea
that	IN/that	that
the	DT	the
US	NP	US
are	VBP	be
going	VVG	go
to	TO	to
take	VV	take
two	CD	two
months	NNS	month
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
build	VV	build
this	DT	this
floating	JJ	floating
Causeway	NN	causeway
which	WDT	which
my	PP$	my
colleague	NN	colleague
Mike	NP	Mike
Hannah	NP	Hannah
was	VBD	be
reporting	VVG	report
on	IN	on
that's	NNS	that's
a	DT	a
longer	JJR	long
term	NN	term
solution	NN	solution
that's	NN	that's
been	VBN	be
met	VVN	meet
with	IN	with
Incredible	JJ	incredible
amounts	NNS	amount
of	IN	of
cynicism	NN	cynicism
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
mainly	RB	mainly
people	NNS	people
saying	VVG	say
well	RB	well
if	IN	if
you're	NN	you're
going	VVG	go
to	TO	to
if	IN	if
it's	NNS	it's
going	VVG	go
to	TO	to
take	VV	take
two	CD	two
months	NNS	month
does	VVZ	do
that	RB	that
mean	VV	mean
this	DT	this
war	NN	war
is	VBZ	be
going	VVG	go
to	TO	to
continue	VV	continue
for	IN	for
another	DT	another
two	CD	two
months	NNS	month
forget	VVP	forget
about	IN	about
even	RB	even
having	VHG	have
a	DT	a
ceasefire	NN	ceasefire
let	VVD	let
me	PP	me
just	RB	just
show	VVP	show
you	PP	you
the	DT	the
logistics	NNS	logistic
of	IN	of
where	WRB	where
I	PP	I
am	VBP	be
that's	NNS	that's
the	DT	the
port	NN	port
behind	IN	behind
me	PP	me
behind	IN	behind
that	DT	that
crane	NN	crane
over	IN	over
there	RB	there
which	WDT	which
Nick	NP	Nick
the	DT	the
cameraman	NN	cameraman
is	VBZ	be
about	RB	about
to	TO	to
zoom	VV	zoom
into	IN	into
is	VBZ	be
where	WRB	where
the	DT	the
ship	NN	ship
is	VBZ	be
that	IN/that	that
ship	NN	ship
was	VBD	be
supposed	VVN	suppose
to	TO	to
leave	VV	leave
at	IN	at
8:00	CD	@card@
p.m.	RB	p.m.
uh	UH	uh
Friday	NP	Friday
evening	NN	evening
hasn't	NN	hasn't
left	VVD	leave
yet	RB	yet
that	DT	that
was	VBD	be
because	IN	because
of	IN	of
bad	JJ	bad
weather	NN	weather
they	PP	they
are	VBP	be
hoping	VVG	hope
it's	NNS	it's
going	VVG	go
to	TO	to
leave	VV	leave
today	NN	today
it	PP	it
has	VHZ	have
a	DT	a
floating	JJ	floating
uh	UH	uh
Jetty	JJ	jetty
uh	UH	uh
that's	NNS	that's
effectively	RB	effectively
on	IN	on
the	DT	the
back	NN	back
of	IN	of
uh	UH	uh
the	DT	the
boat	NN	boat
that's	NNS	that's
how	WRB	how
they're	NN	they're
going	VVG	go
to	TO	to
get	VV	get
the	DT	the
Aid	NN	aid
off	IN	off
uh	UH	uh
the	DT	the
boat	VV	boat
uh	UH	uh
onto	IN	onto
smaller	JJR	small
boats	NNS	boat
and	CC	and
then	RB	then
onto	IN	onto
the	DT	the
coast	NN	coast
of	IN	of
Gaza	NP	Gaza
where	WRB	where
it'll	RB	it'll
be	VB	be
driven	VVN	drive
uh	UH	uh
who	WP	who
actually	RB	actually
does	VVZ	do
all	DT	all
of	IN	of
that	DT	that
who	WP	who
actually	RB	actually
gets	VVZ	get
it	PP	it
from	IN	from
the	DT	the
boat	NN	boat
to	TO	to
the	DT	the
distribution	NN	distribution
centers	VVZ	center
that's	NNS	that's
unclear	JJ	unclear
where	WRB	where
it's	NNS	it's
going	VVG	go
to	TO	to
land	VV	land
that's	NNS	that's
also	RB	also
unclear	JJ	unclear
uh	UH	uh
we're	NN	we're
hearing	NN	hearing
now	RB	now
from	IN	from
um	JJ	um
people	NNS	people
political	JJ	political
analysts	NNS	analyst
and	CC	and
people	NNS	people
talking	VVG	talk
on	IN	on
local	JJ	local
media	NNS	medium
here	RB	here
that	IN/that	that
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
some	DT	some
point	NN	point
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
hours	NNS	hour
that	IN/that	that
boat	NN	boat
will	MD	will
actually	RB	actually
leave	VV	leave
but	CC	but
it's	NNS	it's
when	WRB	when
it	PP	it
where	WRB	where
it	PP	it
gets	VVZ	get
to	TO	to
and	CC	and
how	WRB	how
long	JJ	long
that's	NNS	that's
going	VVG	go
to	TO	to
take	VV	take
us	PP	us
an	DT	an
18-hour	JJ	18-hour
Journey	NP	Journey
that	WDT	that
is	VBZ	be
all	DT	all
still	RB	still
we're	JJ	we're
not	RB	not
we're	NN	we're
simply	RB	simply
not	RB	not
being	VBG	be
told	VVN	tell
what's	NNS	what's
going	VVG	go
to	TO	to
